year,reg,sex,x,mx
2003,1142,M,55,0.033404
2003,1142,M,60,0.050438
2003,1142,M,65,0.065071
2003,1142,M,70,0.088577
2003,1142,M,75,0.11294
2003,1142,M,80,0.162619
2003,1142,M,85,0.282811
2003,1142,F,0,0.010554
2003,1142,F,1,0.000491
2003,1142,F,5,0.000195
2003,1142,F,10,0.000346
2003,1142,F,15,0.000632
2003,1142,F,20,0.000657
2003,1142,F,25,0.001184
2003,1142,F,30,0.001639
2003,1142,F,35,0.001954
2003,1142,F,40,0.003294
2003,1142,F,45,0.004471
2003,1142,F,50,0.006988
2003,1142,F,55,0.010674
2003,1142,F,60,0.016746
2003,1142,F,65,0.023151
2003,1142,F,70,0.039157
2003,1142,F,75,0.06857
2003,1142,F,80,0.115819
2003,1142,F,85,0.236464
2003,1146,M,0,0.013811
2003,1146,M,1,0.000679
2003,1146,M,5,0.000459
2003,1146,M,10,0.000554
2003,1146,M,15,0.001623
2003,1146,M,20,0.003571
2003,1146,M,25,0.006441
2003,1146,M,30,0.008131
2003,1146,M,35,0.010149
2003,1146,M,40,0.014419
2003,1146,M,45,0.019894
2003,1146,M,50,0.027182
2003,1146,M,55,0.03448
2003,1146,M,60,0.049896
2003,1146,M,65,0.060992
2003,1146,M,70,0.086082
2003,1146,M,75,0.112005
2003,1146,M,80,0.148635
2003,1146,M,85,0.242293
2003,1146,F,0,0.010706
2003,1146,F,1,0.000434
2003,1146,F,5,0.000238
2003,1146,F,10,0.00029
2003,1146,F,15,0.000743
2003,1146,F,20,0.001045
2003,1146,F,25,0.001623
2003,1146,F,30,0.002122
2003,1146,F,35,0.002857
2003,1146,F,40,0.004125
2003,1146,F,45,0.005687
2003,1146,F,50,0.008483
2003,1146,F,55,0.011326
2003,1146,F,60,0.016049
2003,1146,F,65,0.023972
2003,1146,F,70,0.04189
2003,1146,F,75,0.069149
2003,1146,F,80,0.11505
2003,1146,F,85,0.224405
2003,1154,M,0,0.012194
2003,1154,M,1,0.000881
2003,1154,M,5,0.000623
2003,1154,M,10,0.000288
2003,1154,M,15,0.001873
2003,1154,M,20,0.003918
2003,1154,M,25,0.005972
2003,1154,M,30,0.008886
2003,1154,M,35,0.011348
2003,1154,M,40,0.014337
2003,1154,M,45,0.019439
2003,1154,M,50,0.027528
2003,1154,M,55,0.039077
2003,1154,M,60,0.051757
2003,1154,M,65,0.062751
2003,1154,M,70,0.089576
2003,1154,M,75,0.119635
2003,1154,M,80,0.155001
2003,1154,M,85,0.277594
2003,1154,F,0,0.010971
2003,1154,F,1,0.000539
2003,1154,F,5,0.000324
2003,1154,F,10,0.000151
2003,1154,F,15,0.000698
2003,1154,F,20,0.000738
2003,1154,F,25,0.001369
2003,1154,F,30,0.001856
2003,1154,F,35,0.002357
2003,1154,F,40,0.003905
2003,1154,F,45,0.004335
2003,1154,F,50,0.007389
2003,1154,F,55,0.010631
2003,1154,F,60,0.015997
2003,1154,F,65,0.023909
2003,1154,F,70,0.043379
2003,1154,F,75,0.069135
2003,1154,F,80,0.110181
2003,1154,F,85,0.228837
2003,1161,M,0,0.017041
2003,1161,M,1,0.001063
2003,1161,M,5,0.000671
2003,1161,M,10,0.000706
2003,1161,M,15,0.001666
2003,1161,M,20,0.004036
2003,1161,M,25,0.007714
2003,1161,M,30,0.009146
2003,1161,M,35,0.012349
2003,1161,M,40,0.017953
2003,1161,M,45,0.024557
2003,1161,M,50,0.034507
2003,1161,M,55,0.041841
2003,1161,M,60,0.054324
2003,1161,M,65,0.064203
2003,1161,M,70,0.089843
2003,1161,M,75,0.115298
2003,1161,M,80,0.161355
2003,1161,M,85,0.276086
2003,1161,F,0,0.010788
2003,1161,F,1,0.000817
2003,1161,F,5,0.00025
2003,1161,F,10,0.000166
2003,1161,F,15,0.000798
2003,1161,F,20,0.001185
2003,1161,F,25,0.001727
2003,1161,F,30,0.001932
2003,1161,F,35,0.002492
2003,1161,F,40,0.003487
2003,1161,F,45,0.005319
2003,1161,F,50,0.008463
2003,1161,F,55,0.012675
2003,1161,F,60,0.015501
2003,1161,F,65,0.025876
2003,1161,F,70,0.040704
2003,1161,F,75,0.068931
2003,1161,F,80,0.113204
2003,1161,F,85,0.235675
2003,1166,M,0,0.013424
2003,1166,M,1,0.001008
2003,1166,M,5,0.000511
2003,1166,M,10,0.000735
2003,1166,M,15,0.001728
2003,1166,M,20,0.00441
2003,1166,M,25,0.007587
2003,1166,M,30,0.010007
2003,1166,M,35,0.014294
2003,1166,M,40,0.018529
2003,1166,M,45,0.025455
2003,1166,M,50,0.035816
2003,1166,M,55,0.044423
2003,1166,M,60,0.064564
2003,1166,M,65,0.080523
2003,1166,M,70,0.101376
2003,1166,M,75,0.124282
2003,1166,M,80,0.170677
2003,1166,M,85,0.239392
2003,1166,F,0,0.011086
2003,1166,F,1,0.000977
2003,1166,F,5,0.000145
2003,1166,F,10,0.00041
2003,1166,F,15,0.00053
2003,1166,F,20,0.001401
2003,1166,F,25,0.002044
